exac_id,name
amnhc_2000145,Aztec Excavation
amnhc_2000146,Arizona Expedition
amnhc_2000147,Brown Cuban Expedition
amnhc_2000148,Cherrie Venezuelan Expedition
amnhc_2000149,Crampton Polynesia Expedition
amnhc_2000150,Havasupai Indian Expedition
amnhc_2000151,Southwest Indian
amnhc_2000152,Spinden Central American Expedition
amnhc_2000153,Vertebrate Palaeontology
amnhc_2000154,Andrews Second Asiatic Expedition
amnhc_2000155,Anthony Jamaica Expedition
amnhc_2000156,Ruthling Mexican Expedition
amnhc_2000157,Watson Jamaican Expedition
amnhc_2000158,Colorado Entomological Expedition
amnhc_2000159,Grand Gulch Expedition
amnhc_2000160,Navajo Excavation
amnhc_2000161,William Percy Expedtion
amnhc_2000162,Crampton South Seas Expedition
amnhc_2000163,Sullivan Hawaiian Expedition
amnhc_2000164,Whitney South Sea Expedition
amnhc_2000165,Anthony-Tate Expedition to Ecuador
amnhc_2000166,Arikara Expedition
amnhc_2000167,Third Asiatic Expedition
amnhc_2000168,"First Australian Expedition (""Gregory-Raven Expedition to Australia, 1921"")"
amnhc_2000169,Akeley African Expedition
amnhc_2000170,Watson Haiti Expedition
amnhc_2000171,Brown India Expedition
amnhc_2000173,Azores Expedition
amnhc_2000174,Brazil Expedition
amnhc_2000175,Ecuador Expedition
amnhc_2000176,New York State Archaeological Trip
amnhc_2000177,Santo Domingo Expedition (Angelo Heilprin Expedition to the Dominican Republic)
amnhc_2000178,Southwest Indian Expedition
amnhc_2000179,Tate Ecuador Expedition
amnhc_2000180,Vertebrate Palaeontology (Nebraska Field Expedition)
amnhc_2000181,Peru Expedition
amnhc_2000182,Faunthorpe-Vernay Expedition
amnhc_2000183,British Guiana Expedition
amnhc_2000184,Expedition to Mount Desert Island
amnhc_2000185,"Expedition to Navajo Reservation, New Mexico"
amnhc_2000186,Frick Expedition to Mexico
amnhc_2000187,Gila Monster Expedition
amnhc_2000188,Bahamian Coral Reef Expedition
amnhc_2000189,Canyon del Muerto Expedition
amnhc_2000190,Goodwin Expedition to Gaspe Peninsula
amnhc_2000191,Chapman South American Expedition
amnhc_2000192,Marsh-Darien Expedition
amnhc_2000193,Martin Johnson African Expedition
amnhc_2000194,Griscom-Benson Expedition to Panama
amnhc_2000195,Clark Expedition to British Columbia
amnhc_2000196,Goodwin Expedition to British Isles
amnhc_2000197,Murphy Expedition to Ecuador (and Peru for meetings).
amnhc_2000198,Southwest Indian Expedition
amnhc_2000199,Tate Turumiquire Expedition
amnhc_2000200,Vernay Angola Expedition
amnhc_2000201,Virgin Islands Expedition
amnhc_2000202,Yucatan Expedition
amnhc_2000203,Olalla Ecuador Expeditions
amnhc_2000204,Schmidt-Thompson Archaeological Expedition
amnhc_2000205,Barro Colorado Expeditions
amnhc_2000206,Burden East Indian Expedition
amnhc_2000207,Childs Frick Expedition
amnhc_2000208,Ladew Peruvian Expedition
amnhc_2000209,Mason-Spinden Expedition
amnhc_2000210,Matthew Expedition to India
amnhc_2000211,Morden-Clark Asiatic Expedition
amnhc_2000212,Murphy Mediterranean Expedition
amnhc_2000213,Pearl Islands Expedition
amnhc_2000214,Phipps Bahamian Expedition
amnhc_2000215,Puerto Rican Expedition
amnhc_2000216,Putnam Greenland Expedition
amnhc_2000217,Rockefeller Hudson Bay Expedition
